Id 	 Results 	 Label
11 	 neutral    	 anger
13 	 neutral    	 sadness
17 	 neutral    	 disgust
18 	 neutral    	 surprise
24 	 neutral    	 anger
35 	 neutral    	 disgust
37 	 neutral    	 sadness
39 	 neutral    	 disgust
44 	 neutral    	 fear
45 	 neutral    	 anger
47 	 neutral    	 sadness
50 	 surprise   	 neutral
61 	 happiness  	 fear
72 	 anger      	 disgust
75 	 surprise   	 neutral
79 	 neutral    	 anger
83 	 anger      	 disgust
85 	 neutral    	 anger
86 	 neutral    	 sadness
